user_id,utc_date,model,api_key_name,api_key,type,price,amount
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-pro,ATRI,sk-3d88e***********************22e6,output_tokens,0.000006,2077
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-pro,ATRI,sk-3d88e***********************22e6,request_count,,1
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-pro,ATRI,sk-3d88e***********************22e6,input_cache_hit_tokens,0.000000025,128
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-pro,ATRI,sk-3d88e***********************22e6,input_cache_miss_tokens,0.000003,197605
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-flash,ATRI,sk-3d88e***********************22e6,output_tokens,0.000002,180314
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-flash,ATRI,sk-3d88e***********************22e6,request_count,,455
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-flash,ATRI,sk-3d88e***********************22e6,input_cache_hit_tokens,0.00000002,25058176
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-flash,ATRI,sk-3d88e***********************22e6,input_cache_miss_tokens,0.000001,3789878
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-pro,ATRI,sk-3d88e***********************22e6,output_tokens,0.000006,1444
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-pro,ATRI,sk-3d88e***********************22e6,request_count,,1
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-pro,ATRI,sk-3d88e***********************22e6,input_cache_hit_tokens,0.000000025,128
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-pro,ATRI,sk-3d88e***********************22e6,input_cache_miss_tokens,0.000003,195636
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-flash,ATRI,sk-3d88e***********************22e6,output_tokens,0.000002,211656
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-flash,ATRI,sk-3d88e***********************22e6,request_count,,654
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-flash,ATRI,sk-3d88e***********************22e6,input_cache_hit_tokens,0.00000002,58870144
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-flash,ATRI,sk-3d88e***********************22e6,input_cache_miss_tokens,0.000001,1531587
