user_id,utc_date,model,wallet_type,cost,currency
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-pro,Paid,0.6052802000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-01,deepseek-v4-flash,Paid,4.6516695200000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-pro,Paid,0.5955752000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-02,deepseek-v4-flash,Paid,3.1323018800000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-03,deepseek-v4-pro,Paid,1.7693136000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-03,deepseek-v4-flash,Paid,6.8352912000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-04,deepseek-v4-pro,Paid,1.4844440000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-04,deepseek-v4-flash,Paid,8.8274854400000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-05,deepseek-v4-pro,Paid,2.2057410000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-05,deepseek-v4-flash,Paid,4.3229582000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-06,deepseek-v4-pro,Paid,0.5814392000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-06,deepseek-v4-flash,Paid,5.8567496400000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-07,deepseek-v4-pro,Paid,1.5400724000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-07,deepseek-v4-flash,Paid,1.2094746000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-08,deepseek-v4-pro,Paid,0.5242290000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-08,deepseek-v4-flash,Paid,2.6313978400000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-09,deepseek-v4-pro,Paid,0.6050702000000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-09,deepseek-v4-flash,Paid,1.8934052400000000,CNY
Wechat-7e7e22af-ce20-4b8e-8473-3dd811edcb7f,2026-05-10,deepseek-v4-flash,Paid,0.1168192000000000,CNY
